order_id,customer_id,region,city,product_id,product_name,category,quantity,unit_price,discount,sales,profit,ship_mode,order_date,delivery_date,rating
ORD00111,CUST0876,North,Delhi,P017,Business Strategy,Books,4,399,0,1596,271.95,Overnight,2024-06-17,2024-06-18,4
ORD00112,CUST0637,North,Jaipur,P003,USB-C Hub,Electronics,2,699,0.05,1328.1,171.21,Standard,2024-05-25,2024-05-30,4
ORD00113,CUST0151,South,Hyderabad,P019,Yoga Mat,Sports,1,699,0.15,594.15,163.64,Standard,2023-06-07,2023-06-12,4
ORD00114,CUST0452,East,Patna,P005,Webcam HD,Electronics,5,1599,0.1,7195.5,1983.53,Express,2023-08-04,2023-08-06,4
ORD00115,CUST0793,East,Patna,P001,Wireless Earbuds,Electronics,4,1299,0.05,4936.2,1238.66,Express,2024-06-06,2024-06-08,3
ORD00116,CUST0302,North,Lucknow,P007,Women's Kurta Set,Clothing,4,999,0,3996,625.35,Same Day,2024-04-20,2024-04-20,4
ORD00117,CUST0207,South,Hyderabad,P006,Men's Running Shoes,Clothing,5,1899,0.2,7596.0,1868.18,Standard,2024-01-06,2024-01-11,4
ORD00118,CUST0789,North,Delhi,P010,Cotton Hoodie,Clothing,5,1299,0.1,5845.5,726.24,Express,2023-04-14,2023-04-16,4
ORD00119,CUST0441,North,Chandigarh,P015,Python Programming,Books,3,499,0.05,1422.15,202.74,Same Day,2023-10-24,2023-10-24,4
ORD00120,CUST0459,West,Surat,P017,Business Strategy,Books,3,399,0,1197,235.16,Same Day,2024-03-05,2024-03-05,5
ORD00121,CUST0457,Central,Jabalpur,P019,Yoga Mat,Sports,2,699,0,1398,484.97,Same Day,2024-01-22,2024-01-22,5
ORD00122,CUST1043,South,Bangalore,P003,USB-C Hub,Electronics,5,699,0.1,3145.5,486.59,Express,2023-11-07,2023-11-09,4
ORD00123,CUST0400,South,Coimbatore,P015,Python Programming,Books,1,499,0,499,156.45,Express,2023-12-26,2023-12-28,4
ORD00124,CUST1072,Central,Gwalior,P004,Mechanical Keyboard,Electronics,3,2499,0,7497,988.92,Standard,2024-04-01,2024-04-06,4
ORD00125,CUST0527,South,Hyderabad,P011,Office Desk Chair,Furniture,2,8999,0,17998,6460.98,Express,2024-02-10,2024-02-12,5
ORD00126,CUST0378,South,Coimbatore,P008,Denim Jacket,Clothing,3,1799,0.2,4317.6,820.62,Express,2023-07-06,2023-07-08,5
ORD00127,CUST0196,West,Ahmedabad,P016,Data Science Handbook,Books,2,699,0.15,1188.3,421.03,Express,2023-03-25,2023-03-27,5
ORD00128,CUST0670,North,Amritsar,P017,Business Strategy,Books,1,399,0.1,359.1,131.18,Express,2024-01-08,2024-01-10,5
ORD00129,CUST0944,North,Jaipur,P001,Wireless Earbuds,Electronics,4,1299,0.15,4416.6,670.72,Overnight,2023-08-20,2023-08-21,4
ORD00130,CUST1029,North,Jaipur,P016,Data Science Handbook,Books,4,699,0.05,2656.2,675.86,Standard,2024-01-19,2024-01-24,2
ORD00131,CUST0713,Central,Bhopal,P001,Wireless Earbuds,Electronics,5,1299,0.2,5196.0,1947.9,Standard,2023-07-08,2023-07-13,4
ORD00132,CUST0365,Central,Jabalpur,P015,Python Programming,Books,3,499,0,1497,338.98,Standard,2023-05-16,2023-05-21,1
ORD00133,CUST0784,North,Jaipur,P019,Yoga Mat,Sports,2,699,0,1398,241.41,Express,2023-07-31,2023-08-02,3
ORD00134,CUST0663,North,Chandigarh,P009,Yoga Pants,Clothing,2,899,0,1798,604.68,Standard,2023-04-24,2023-04-29,4
ORD00135,CUST0374,East,Bhubaneswar,P001,Wireless Earbuds,Electronics,2,1299,0.2,2078.4,621.65,Standard,2023-06-09,2023-06-14,2
ORD00136,CUST0082,West,Mumbai,P017,Business Strategy,Books,1,399,0,399,120.57,Standard,2023-06-15,2023-06-20,3
ORD00137,CUST1191,West,Surat,P006,Men's Running Shoes,Clothing,2,1899,0.2,3038.4,594.43,Standard,2024-05-13,2024-05-18,3
ORD00138,CUST0493,West,Pune,P015,Python Programming,Books,5,499,0.05,2370.25,310.18,Standard,2024-04-22,2024-04-27,2
ORD00139,CUST0342,West,Surat,P013,Study Table,Furniture,1,6999,0,6999,2549.02,Express,2023-03-09,2023-03-11,5
ORD00140,CUST0496,Central,Jabalpur,P009,Yoga Pants,Clothing,5,899,0.1,4045.5,843.4,Overnight,2024-04-17,2024-04-18,4
ORD00141,CUST0302,North,Lucknow,P015,Python Programming,Books,3,499,0.05,1422.15,227.83,Express,2023-06-09,2023-06-11,4
ORD00142,CUST0083,North,Jaipur,P010,Cotton Hoodie,Clothing,5,1299,0.2,5196.0,1039.68,Standard,2024-05-27,2024-06-01,4
ORD00143,CUST0271,South,Hyderabad,P012,Bookshelf 5-Tier,Furniture,3,4599,0.05,13107.15,3694.44,Express,2023-06-01,2023-06-03,4
ORD00144,CUST0654,South,Hyderabad,P004,Mechanical Keyboard,Electronics,2,2499,0.15,4248.3,1145.1,Overnight,2023-07-11,2023-07-12,4
ORD00145,CUST0787,North,Lucknow,P001,Wireless Earbuds,Electronics,3,1299,0.1,3507.3,626.94,Overnight,2023-03-20,2023-03-21,4
ORD00146,CUST1192,West,Surat,P007,Women's Kurta Set,Clothing,4,999,0,3996,1219.67,Standard,2023-05-07,2023-05-12,4
ORD00147,CUST0433,East,Ranchi,P010,Cotton Hoodie,Clothing,4,1299,0.25,3897.0,933.81,Standard,2023-06-30,2023-07-05,4
ORD00148,CUST1070,South,Coimbatore,P017,Business Strategy,Books,5,399,0.15,1695.75,340.61,Overnight,2024-01-03,2024-01-04,3
ORD00149,CUST0903,West,Surat,P016,Data Science Handbook,Books,3,699,0,2097,602.66,Express,2024-04-02,2024-04-04,4
ORD00150,CUST0133,South,Kochi,P010,Cotton Hoodie,Clothing,3,1299,0.15,3312.45,1200.58,Standard,2023-09-25,2023-09-30,5
ORD00151,CUST0672,West,Nagpur,P016,Data Science Handbook,Books,2,699,0,1398,381.37,Express,2024-04-26,2024-04-28,5
ORD00152,CUST0279,South,Kochi,P001,Wireless Earbuds,Electronics,1,1299,0.25,974.25,328.74,Standard,2023-01-31,2023-02-05,4
ORD00153,CUST1045,West,Surat,P001,Wireless Earbuds,Electronics,4,1299,0.15,4416.6,1438.68,Express,2024-02-29,2024-03-02,3
ORD00154,CUST0495,West,Ahmedabad,P017,Business Strategy,Books,1,399,0.15,339.15,123.98,Standard,2024-04-11,2024-04-16,5
ORD00155,CUST0559,West,Surat,P004,Mechanical Keyboard,Electronics,5,2499,0,12495,1746.94,Standard,2023-09-04,2023-09-09,5
ORD00156,CUST0992,South,Coimbatore,P007,Women's Kurta Set,Clothing,4,999,0.25,2997.0,807.91,Standard,2024-06-11,2024-06-16,4
ORD00157,CUST0289,South,Coimbatore,P001,Wireless Earbuds,Electronics,5,1299,0,6495,1026.13,Express,2023-06-29,2023-07-01,1
ORD00158,CUST0008,South,Bangalore,P014,Bedside Table,Furniture,1,3299,0,3299,795.91,Express,2023-02-28,2023-03-02,4
ORD00159,CUST1071,North,Delhi,P001,Wireless Earbuds,Electronics,2,1299,0.05,2468.1,701.47,Standard,2024-06-13,2024-06-18,4
ORD00160,CUST0220,South,Kochi,P007,Women's Kurta Set,Clothing,4,999,0.05,3796.2,660.99,Standard,2023-06-26,2023-07-01,2
ORD00161,CUST0069,West,Ahmedabad,P006,Men's Running Shoes,Clothing,3,1899,0.05,5412.15,1194.5,Standard,2024-05-02,2024-05-07,3
ORD00162,CUST0333,West,Ahmedabad,P010,Cotton Hoodie,Clothing,3,1299,0.25,2922.75,383.2,Express,2023-01-17,2023-01-19,4
ORD00163,CUST0154,South,Chennai,P003,USB-C Hub,Electronics,1,699,0.2,559.2,79.45,Express,2024-04-27,2024-04-29,4
ORD00164,CUST0572,North,Lucknow,P001,Wireless Earbuds,Electronics,1,1299,0.1,1169.1,261.94,Express,2023-06-22,2023-06-24,5
ORD00165,CUST0420,East,Bhubaneswar,P017,Business Strategy,Books,4,399,0,1596,209.71,Standard,2023-02-18,2023-02-23,3
ORD00166,CUST0908,South,Coimbatore,P001,Wireless Earbuds,Electronics,3,1299,0.15,3312.45,1173.63,Standard,2024-03-16,2024-03-21,5
ORD00167,CUST0064,East,Guwahati,P019,Yoga Mat,Sports,1,699,0.05,664.05,242.22,Standard,2023-09-23,2023-09-28,5
ORD00168,CUST0411,North,Delhi,P007,Women's Kurta Set,Clothing,4,999,0,3996,1383.76,Standard,2024-01-17,2024-01-22,5
ORD00169,CUST0575,East,Kolkata,P001,Wireless Earbuds,Electronics,2,1299,0.15,2208.3,548.41,Express,2024-03-23,2024-03-25,5
ORD00170,CUST1014,North,Amritsar,P020,Fitness Dumbbells,Sports,3,1999,0,5997,2210.26,Same Day,2023-07-23,2023-07-23,4
ORD00171,CUST0139,East,Ranchi,P016,Data Science Handbook,Books,2,699,0,1398,252.73,Standard,2023-12-19,2023-12-24,5
ORD00172,CUST1069,West,Nagpur,P016,Data Science Handbook,Books,2,699,0.15,1188.3,224.17,Standard,2023-11-13,2023-11-18,5
ORD00173,CUST0160,East,Guwahati,P015,Python Programming,Books,5,499,0.15,2120.75,324.69,Express,2024-03-05,2024-03-07,4
ORD00174,CUST1127,South,Coimbatore,P009,Yoga Pants,Clothing,2,899,0.15,1528.3,550.97,Same Day,2023-02-20,2023-02-20,4
ORD00175,CUST0712,South,Hyderabad,P002,Laptop Stand,Electronics,1,899,0.15,764.15,131.07,Standard,2023-03-08,2023-03-13,3
ORD00176,CUST0106,South,Hyderabad,P010,Cotton Hoodie,Clothing,3,1299,0.05,3702.15,747.75,Standard,2023-07-03,2023-07-08,4
ORD00177,CUST0338,North,Lucknow,P015,Python Programming,Books,3,499,0.1,1347.3,333.57,Overnight,2023-07-22,2023-07-23,5
ORD00178,CUST0569,South,Hyderabad,P007,Women's Kurta Set,Clothing,2,999,0.1,1798.2,314.87,Express,2023-09-21,2023-09-23,1
ORD00179,CUST0675,North,Jaipur,P007,Women's Kurta Set,Clothing,2,999,0.15,1698.3,310.54,Standard,2024-02-07,2024-02-12,4
ORD00180,CUST0204,West,Nagpur,P009,Yoga Pants,Clothing,1,899,0.15,764.15,283.34,Standard,2024-06-10,2024-06-15,3
ORD00181,CUST0031,North,Amritsar,P007,Women's Kurta Set,Clothing,3,999,0.1,2697.3,444.21,Overnight,2024-01-11,2024-01-12,4
ORD00182,CUST0002,South,Kochi,P016,Data Science Handbook,Books,2,699,0.1,1258.2,456.43,Standard,2024-01-19,2024-01-24,5
ORD00183,CUST0587,West,Mumbai,P019,Yoga Mat,Sports,1,699,0,699,92.71,Express,2024-04-02,2024-04-04,4
ORD00184,CUST0589,North,Jaipur,P003,USB-C Hub,Electronics,3,699,0.05,1992.15,501.47,Standard,2023-05-05,2023-05-10,4
ORD00185,CUST0778,North,Lucknow,P017,Business Strategy,Books,4,399,0.1,1436.4,312.37,Overnight,2023-05-04,2023-05-05,4
ORD00186,CUST0077,West,Surat,P003,USB-C Hub,Electronics,3,699,0,2097,306.09,Standard,2024-03-25,2024-03-30,1
ORD00187,CUST0969,West,Mumbai,P007,Women's Kurta Set,Clothing,3,999,0.05,2847.15,595.41,Standard,2024-03-19,2024-03-24,4
ORD00188,CUST0647,South,Kochi,P015,Python Programming,Books,2,499,0,998,203.55,Standard,2023-12-07,2023-12-12,5
ORD00189,CUST0619,West,Surat,P002,Laptop Stand,Electronics,3,899,0,2697,325.67,Standard,2024-02-19,2024-02-24,3
ORD00190,CUST1176,North,Delhi,P018,Cricket Bat,Sports,4,1499,0.1,5396.4,1677.99,Standard,2023-05-29,2023-06-03,4
ORD00191,CUST1187,East,Bhubaneswar,P007,Women's Kurta Set,Clothing,3,999,0,2997,845.34,Standard,2023-01-31,2023-02-05,3
ORD00192,CUST1076,South,Kochi,P003,USB-C Hub,Electronics,4,699,0,2796,831.57,Express,2023-09-22,2023-09-24,4
