customer_id,frequency,monetary,avg_rating,last_order,first_order,segment,R_score,F_score,M_score,RFM_score
CUST0102,9,50599.55,4.0,2023-11-06,2023-03-25,Medium Value,5,4,5,14
CUST0367,11,52816.05,4.18,2024-03-16,2023-01-10,Medium Value,5,5,5,15
CUST0652,9,38136.85,3.56,2024-04-21,2023-04-03,Medium Value,5,4,5,14
CUST0450,6,17338.65,3.5,2024-03-04,2023-02-17,Medium Value,2,2,2,6
CUST0850,10,64293.05,2.9,2024-04-22,2023-01-09,Medium Value,5,5,5,15
CUST0661,8,21530.55,4.0,2024-04-03,2023-01-21,Medium Value,3,3,3,9
CUST1125,12,60583.7,3.75,2024-05-01,2023-03-07,Medium Value,5,5,5,15
CUST0960,12,46674.85,3.08,2024-05-18,2023-02-25,Medium Value,5,5,5,15
CUST0032,7,21681.0,3.0,2024-05-17,2023-01-24,Medium Value,3,3,3,9
CUST1010,6,45754.9,3.0,2024-04-08,2023-02-08,Medium Value,5,2,5,12
CUST0269,12,43597.55,4.0,2024-06-07,2023-02-06,Medium Value,5,5,5,15
CUST0194,5,12540.0,3.8,2024-06-22,2023-05-12,Low Value,1,1,1,3
CUST0394,9,29676.45,3.67,2024-06-05,2023-07-21,Medium Value,4,4,4,12
CUST0604,6,46920.0,3.33,2024-05-22,2023-05-24,Medium Value,5,2,5,12
CUST1132,6,16528.05,4.17,2024-04-28,2023-03-18,Medium Value,2,2,2,6
CUST0104,11,31895.8,4.0,2024-06-11,2023-01-24,Medium Value,4,5,4,13
CUST0476,5,46332.1,4.4,2024-05-09,2023-04-06,Low Value,5,1,5,11
CUST0938,8,19433.55,3.13,2024-05-06,2023-03-08,Medium Value,2,3,2,7
CUST0814,8,18563.1,3.63,2024-06-18,2023-03-02,Medium Value,2,3,2,7
CUST0341,4,11282.1,3.75,2024-04-15,2024-01-18,Low Value,1,1,1,3
CUST0583,8,20853.45,4.0,2024-03-16,2023-01-07,Medium Value,3,3,3,9
CUST1015,12,47667.3,3.83,2024-05-17,2023-03-20,Medium Value,5,5,5,15
CUST0551,7,21217.45,4.29,2024-03-05,2023-01-23,Medium Value,3,3,3,9
CUST0261,5,8484.05,4.2,2024-02-17,2023-05-03,Low Value,1,1,1,3
CUST0833,7,25720.7,3.71,2024-06-04,2023-02-05,Medium Value,3,3,3,9
CUST0559,10,36774.15,3.7,2024-05-22,2023-05-15,Medium Value,4,5,4,13
CUST0612,4,8641.5,3.0,2023-10-16,2023-02-27,Low Value,1,1,1,3
CUST0678,13,48332.95,3.69,2024-06-10,2023-01-17,Medium Value,5,5,5,15
CUST0353,15,44054.3,3.93,2024-05-22,2023-01-16,High Value,5,5,5,15
CUST0004,10,34920.8,3.2,2024-03-10,2023-01-26,Medium Value,4,5,4,13
CUST0142,7,31827.5,3.57,2024-03-27,2023-02-19,Medium Value,4,3,4,11
CUST0807,10,41613.7,4.0,2024-06-11,2023-01-18,Medium Value,5,5,5,15
CUST0150,11,19975.85,3.45,2024-05-24,2023-05-20,Medium Value,3,5,3,11
CUST0795,5,15492.55,4.0,2024-06-18,2023-05-25,Low Value,2,1,2,5
CUST0217,10,34652.45,4.2,2024-06-09,2023-01-25,Medium Value,4,5,4,13
CUST1064,8,34773.25,4.13,2024-06-17,2023-03-27,Medium Value,4,3,4,11
CUST1049,7,22774.9,3.86,2024-05-12,2023-05-30,Medium Value,3,3,3,9
CUST0314,10,31789.85,4.0,2024-03-22,2023-05-02,Medium Value,4,5,4,13
CUST0125,12,41218.55,4.0,2024-04-04,2023-02-08,Medium Value,5,5,5,15
CUST1066,11,36586.95,3.73,2024-04-10,2023-02-16,Medium Value,4,5,4,13
CUST0952,8,35490.9,4.75,2024-05-28,2023-01-12,Medium Value,4,4,4,12
CUST0621,10,47153.25,4.3,2024-04-16,2023-01-06,Medium Value,5,5,5,15
CUST0055,9,48055.55,3.44,2024-05-14,2023-01-21,Medium Value,5,4,5,14
CUST0224,6,10996.2,3.67,2024-03-25,2023-03-24,Medium Value,1,2,1,4
CUST0400,6,15720.65,4.0,2024-06-02,2023-02-18,Medium Value,2,2,2,6
CUST1141,11,57096.6,4.0,2024-06-15,2023-03-06,Medium Value,5,5,5,15
CUST1110,7,53663.8,4.14,2024-05-31,2023-01-11,Medium Value,5,3,5,13
CUST0438,9,20207.9,3.44,2024-06-12,2023-01-09,Medium Value,3,4,3,10
CUST1177,9,26283.4,3.89,2024-06-10,2023-03-01,Medium Value,3,4,3,10
CUST0481,11,51266.0,3.55,2024-06-21,2023-02-16,Medium Value,5,5,5,15
CUST0849,8,43323.3,3.75,2024-05-06,2023-01-30,Medium Value,5,4,5,14
CUST0021,3,3029.55,4.67,2024-05-12,2023-07-09,Low Value,1,1,1,3
CUST0366,9,17401.5,3.67,2024-06-21,2023-01-10,Medium Value,2,4,2,8
CUST0472,8,25815.0,4.38,2024-04-11,2023-02-09,Medium Value,3,4,3,10
CUST0558,4,10921.85,3.25,2024-04-22,2023-11-13,Low Value,1,1,1,3
CUST0420,6,81515.4,3.17,2024-03-07,2023-02-18,Medium Value,5,2,5,12
CUST0365,7,14724.95,3.71,2024-05-21,2023-05-16,Medium Value,2,3,2,7
CUST0252,11,29177.25,3.36,2024-05-06,2023-01-09,Medium Value,4,5,4,13
CUST1082,6,18085.05,4.33,2024-05-14,2023-03-27,Medium Value,2,2,2,6
CUST0515,9,27017.05,3.89,2024-06-24,2023-01-15,Medium Value,4,4,4,12
CUST0763,6,17428.4,3.17,2023-11-07,2023-01-30,Medium Value,2,2,2,6
CUST0798,7,27844.5,3.29,2024-04-29,2023-02-11,Medium Value,4,3,4,11
CUST0876,6,19252.0,3.83,2024-06-17,2023-03-10,Medium Value,2,2,2,6
CUST0637,7,12855.5,4.29,2024-05-25,2023-05-11,Medium Value,1,3,1,5
CUST0151,4,10724.25,4.75,2023-06-13,2023-03-01,Low Value,1,1,1,3
CUST0452,10,27282.5,4.1,2024-06-23,2023-02-17,Medium Value,4,5,4,13
CUST0793,3,8866.55,4.33,2024-06-06,2023-08-20,Low Value,1,1,1,3
CUST0302,9,21498.3,4.44,2024-04-20,2023-01-28,Medium Value,3,4,3,10
CUST0207,7,26907.3,4.0,2024-03-27,2023-01-09,Medium Value,4,3,4,11
CUST0789,6,19661.1,4.33,2024-05-30,2023-04-14,Medium Value,3,2,3,8
CUST0441,4,13520.85,3.75,2023-11-30,2023-04-12,Low Value,1,1,1,3
CUST0459,12,82624.45,3.75,2024-03-05,2023-01-06,Medium Value,5,5,5,15
CUST1043,7,17916.55,4.43,2024-05-13,2023-02-16,Medium Value,2,3,2,7
CUST1072,8,35939.7,3.75,2024-04-01,2023-06-19,Medium Value,4,4,4,12
CUST0527,8,34648.15,4.13,2024-05-19,2023-01-10,Medium Value,4,4,4,12
CUST0378,11,37121.5,4.09,2024-04-19,2023-02-03,Medium Value,5,5,5,15
CUST0196,8,17121.1,4.0,2024-03-19,2023-01-31,Medium Value,2,4,2,8
CUST0944,11,46091.0,4.0,2024-04-01,2023-04-10,Medium Value,5,5,5,15
CUST1029,8,36429.95,3.38,2024-06-16,2023-02-11,Medium Value,4,4,4,12
CUST0713,5,22856.85,4.4,2024-05-31,2023-07-08,Low Value,3,1,3,7
CUST0784,7,28877.0,3.57,2023-12-26,2023-05-29,Medium Value,4,3,4,11
CUST0663,7,35168.95,4.14,2024-05-31,2023-01-08,Medium Value,4,3,4,11
CUST0374,6,23577.45,3.5,2024-06-03,2023-06-09,Medium Value,3,2,3,8
CUST0082,9,71755.7,3.78,2024-05-27,2023-01-24,Medium Value,5,4,5,14
CUST1191,6,10668.75,4.5,2024-05-26,2023-02-24,Medium Value,1,2,1,4
CUST0493,6,15613.3,3.83,2024-06-13,2023-02-07,Medium Value,2,2,2,6
CUST0342,5,42764.7,4.0,2024-05-09,2023-03-09,Low Value,5,1,5,11
CUST0496,9,35723.05,4.33,2024-04-17,2023-02-22,Medium Value,4,4,4,12
CUST0083,12,59474.85,3.58,2024-05-27,2023-02-10,Medium Value,5,5,5,15
CUST0271,10,53190.15,3.8,2024-06-13,2023-01-16,Medium Value,5,5,5,15
CUST0654,7,26790.9,4.0,2024-05-10,2023-02-02,Medium Value,4,3,4,11
CUST0787,7,21478.1,3.86,2024-03-23,2023-02-26,Medium Value,3,3,3,9
CUST1192,11,35623.95,4.36,2024-06-19,2023-01-14,Medium Value,4,5,4,13
CUST0433,9,41793.95,3.78,2024-04-25,2023-01-31,Medium Value,5,4,5,14
CUST1070,6,14793.75,4.0,2024-04-19,2023-05-08,Medium Value,2,2,2,6
CUST0903,8,18883.15,3.38,2024-04-02,2023-02-26,Medium Value,2,4,2,8
CUST0133,11,37114.35,3.45,2024-06-23,2023-03-02,Medium Value,5,5,5,15
CUST0672,7,13698.2,4.14,2024-05-22,2023-02-12,Medium Value,1,3,1,5
CUST0279,8,10072.55,4.0,2024-03-16,2023-01-19,Medium Value,1,4,1,6
CUST1045,8,21796.9,4.13,2024-06-01,2023-01-28,Medium Value,3,4,3,10
CUST0495,10,21511.8,4.6,2024-05-02,2023-02-22,Medium Value,3,5,3,11
CUST0992,11,44892.65,4.09,2024-06-11,2023-01-10,Medium Value,5,5,5,15
CUST0289,12,44483.7,3.75,2024-05-14,2023-01-10,Medium Value,5,5,5,15
CUST0008,7,21909.7,3.86,2024-06-11,2023-02-28,Medium Value,3,3,3,9
CUST1071,9,34556.8,3.56,2024-06-13,2023-01-12,Medium Value,4,4,4,12
CUST0220,5,19078.65,3.4,2023-12-20,2023-06-26,Low Value,2,1,2,5
CUST0069,7,21141.15,3.57,2024-06-02,2023-06-18,Medium Value,3,3,3,9
CUST0333,9,24102.05,4.0,2024-04-07,2023-01-17,Medium Value,3,4,3,10
CUST0572,11,38440.85,3.82,2024-06-13,2023-04-24,Medium Value,5,5,5,15
CUST0908,14,63724.45,3.43,2024-04-24,2023-01-21,Medium Value,5,5,5,15
CUST0064,4,16072.25,4.5,2024-03-29,2023-01-10,Low Value,2,1,2,5
CUST0411,8,33174.75,4.5,2024-05-24,2023-08-11,Medium Value,4,4,4,12
CUST0575,11,40243.35,4.0,2024-05-28,2023-03-01,Medium Value,5,5,5,15
CUST1014,6,25015.8,4.33,2023-09-24,2023-01-29,Medium Value,3,2,3,8
CUST0139,7,20803.2,3.57,2024-03-04,2023-02-12,Medium Value,3,3,3,9
CUST1069,4,4604.2,4.0,2023-11-29,2023-02-16,Low Value,1,1,1,3
CUST0160,6,48341.45,4.0,2024-05-16,2023-05-13,Medium Value,5,2,5,12
CUST1127,10,61215.0,4.3,2024-06-23,2023-01-30,Medium Value,5,5,5,15
CUST0712,11,59627.95,3.73,2024-04-18,2023-02-08,Medium Value,5,5,5,15
CUST0106,12,41611.45,3.92,2024-05-27,2023-03-27,Medium Value,5,5,5,15
CUST0338,9,22439.25,3.67,2024-05-16,2023-02-28,Medium Value,3,4,3,10
CUST0569,11,30184.65,3.09,2024-06-12,2023-02-01,Medium Value,4,5,4,13
CUST0675,10,42549.3,3.3,2024-06-12,2023-02-04,Medium Value,5,5,5,15
CUST0204,6,9068.1,4.33,2024-06-12,2023-03-18,Medium Value,1,2,1,4
CUST0031,5,12597.2,4.6,2024-02-10,2023-03-22,Low Value,1,1,1,3
CUST0002,11,69831.35,3.73,2024-04-29,2023-04-25,Medium Value,5,5,5,15
CUST0587,8,20265.15,4.25,2024-04-30,2023-06-14,Medium Value,3,4,3,10
CUST0589,13,53831.65,3.54,2024-06-21,2023-03-29,Medium Value,5,5,5,15
CUST0778,13,58410.6,3.85,2024-06-13,2023-01-24,Medium Value,5,5,5,15
CUST0077,10,32427.1,3.7,2024-05-10,2023-03-16,Medium Value,4,5,4,13
CUST0969,11,35119.95,4.18,2024-04-07,2023-01-10,Medium Value,4,5,4,13
CUST0647,5,17833.5,4.0,2024-01-31,2023-01-25,Low Value,2,1,2,5
CUST0619,5,16806.7,3.8,2024-06-22,2024-02-14,Low Value,2,1,2,5
CUST1176,7,25913.0,3.43,2024-05-09,2023-01-21,Medium Value,3,3,3,9
CUST1187,13,40568.75,3.69,2024-05-22,2023-01-28,Medium Value,5,5,5,15
CUST1076,4,9379.45,4.0,2024-02-09,2023-06-10,Low Value,1,1,1,3
CUST0489,7,15873.7,4.0,2024-03-18,2023-01-28,Medium Value,2,3,2,7
CUST0088,5,9759.3,4.0,2024-03-18,2023-01-28,Low Value,1,1,1,3
CUST0904,11,20679.5,3.82,2024-05-08,2023-01-16,Medium Value,3,5,3,11
CUST0564,9,21696.0,3.56,2024-05-22,2023-06-03,Medium Value,3,4,3,10
CUST0096,15,82198.15,4.0,2024-06-09,2023-03-03,High Value,5,5,5,15
CUST0800,8,19783.85,3.63,2024-05-31,2023-02-04,Medium Value,3,4,3,10
CUST1111,10,48826.85,3.8,2024-05-28,2023-01-19,Medium Value,5,5,5,15
CUST1000,9,63131.8,4.22,2024-06-24,2023-01-18,Medium Value,5,4,5,14
CUST0119,9,32044.0,3.22,2023-11-10,2023-01-20,Medium Value,4,4,4,12
CUST1136,9,50413.55,3.89,2024-06-04,2023-02-06,Medium Value,5,4,5,14
CUST0027,8,20921.5,3.75,2024-06-21,2023-05-11,Medium Value,3,4,3,10
CUST0469,6,19072.55,4.0,2024-06-04,2023-04-21,Medium Value,2,2,2,6
CUST0754,9,18901.05,4.0,2024-06-11,2023-01-23,Medium Value,2,4,2,8
CUST0247,8,38501.25,4.0,2024-04-15,2023-03-09,Medium Value,5,4,5,14
CUST0277,7,41970.9,3.57,2024-04-11,2023-01-06,Medium Value,5,3,5,13
CUST0943,7,19901.55,3.86,2024-05-03,2023-02-13,Medium Value,3,3,3,9
CUST0431,5,14463.6,4.0,2024-04-07,2023-10-17,Low Value,2,1,2,5
CUST0273,4,18287.65,4.0,2024-05-27,2023-04-24,Low Value,2,1,2,5
CUST1089,8,39269.9,4.38,2024-05-17,2023-02-06,Medium Value,5,4,5,14
CUST0430,9,40294.55,4.44,2024-06-16,2023-01-08,Medium Value,5,4,5,14
CUST0456,6,15341.25,4.17,2023-11-29,2023-01-28,Medium Value,2,2,2,6
CUST0045,7,16674.7,3.43,2024-05-04,2023-03-17,Medium Value,2,3,2,7
CUST0671,4,14566.15,3.5,2023-11-13,2023-03-10,Low Value,2,1,2,5
CUST1017,8,19879.8,4.25,2024-06-12,2023-02-20,Medium Value,3,4,3,10
CUST0844,4,15458.1,3.5,2023-12-27,2023-03-17,Low Value,2,1,2,5
CUST0508,13,37843.65,3.62,2024-03-07,2023-01-08,Medium Value,5,5,5,15
CUST1088,10,41216.95,3.0,2024-04-10,2023-02-21,Medium Value,5,5,5,15
CUST1067,7,19941.4,3.86,2024-05-28,2023-05-30,Medium Value,3,3,3,9
CUST1169,6,16138.05,3.83,2024-02-07,2023-02-23,Medium Value,2,2,2,6
CUST0422,10,31881.0,4.1,2024-06-09,2023-01-16,Medium Value,4,5,4,13
CUST1053,9,42660.15,3.89,2024-06-09,2023-04-14,Medium Value,5,4,5,14
CUST0606,9,46854.1,4.0,2024-05-26,2023-02-10,Medium Value,5,4,5,14
CUST0684,8,28348.1,3.5,2024-06-21,2023-06-26,Medium Value,4,4,4,12
CUST0330,5,17040.65,3.8,2024-05-31,2023-03-24,Low Value,2,1,2,5
CUST0731,4,22238.65,2.75,2024-03-02,2023-02-04,Low Value,3,1,3,7
CUST0880,7,15010.15,4.29,2024-02-08,2023-05-27,Medium Value,2,3,2,7
CUST1108,13,56042.3,3.38,2024-06-02,2023-02-05,Medium Value,5,5,5,15
CUST0473,6,25133.9,3.67,2024-05-12,2023-03-15,Medium Value,3,2,3,8
CUST0334,10,36261.25,3.8,2024-04-11,2023-01-12,Medium Value,4,5,4,13
CUST1109,10,19295.2,4.1,2024-04-11,2023-02-01,Medium Value,2,5,2,9
CUST0105,10,33065.85,3.7,2024-02-28,2023-02-05,Medium Value,4,5,4,13
CUST0402,13,65806.85,3.92,2024-02-08,2023-01-29,Medium Value,5,5,5,15
CUST0536,9,18888.6,4.0,2024-05-14,2023-01-13,Medium Value,2,4,2,8
CUST1199,8,74456.4,4.38,2024-04-21,2023-01-31,Medium Value,5,4,5,14
CUST0635,9,19879.15,3.78,2024-06-05,2023-04-16,Medium Value,3,4,3,10
CUST0828,7,32809.8,4.14,2024-04-07,2023-01-21,Medium Value,4,3,4,11
CUST0756,10,41353.05,4.0,2024-06-17,2023-01-22,Medium Value,5,5,5,15
CUST0449,6,15592.6,3.17,2024-05-02,2023-06-22,Medium Value,2,2,2,6
CUST0602,9,21150.05,3.78,2024-02-14,2023-02-24,Medium Value,3,4,3,10
CUST0068,7,48805.35,4.14,2024-03-28,2023-04-06,Medium Value,5,3,5,13
CUST0779,7,48245.6,4.0,2024-06-10,2023-02-11,Medium Value,5,3,5,13
CUST0274,13,63928.05,3.85,2024-06-14,2023-02-19,Medium Value,5,5,5,15
CUST0574,9,19268.4,3.33,2024-03-02,2023-02-14,Medium Value,2,4,2,8
CUST0240,8,17563.85,3.25,2024-06-03,2023-02-16,Medium Value,2,4,2,8
CUST0260,13,61399.3,3.69,2024-04-17,2023-02-09,Medium Value,5,5,5,15
CUST0688,10,33789.2,3.8,2024-06-09,2023-03-28,Medium Value,4,5,4,13
CUST0812,5,15093.3,2.6,2023-07-30,2023-01-29,Low Value,2,1,2,5
CUST0073,11,89796.1,3.55,2024-05-30,2023-01-09,Medium Value,5,5,5,15
CUST0091,8,26840.8,3.75,2024-05-27,2023-02-07,Medium Value,4,4,4,12
CUST1163,5,22848.7,4.2,2024-04-20,2023-09-27,Low Value,3,1,3,7
CUST0007,10,42960.9,3.6,2024-04-25,2023-02-10,Medium Value,5,5,5,15
CUST1107,8,16844.3,3.63,2024-02-21,2023-01-10,Medium Value,2,4,2,8
CUST0919,6,13626.85,3.67,2024-05-05,2023-03-07,Medium Value,1,2,1,4
CUST0683,6,19647.05,3.17,2024-06-18,2023-01-24,Medium Value,3,2,3,8
CUST1159,2,3151.35,4.5,2024-04-18,2023-06-14,Low Value,1,1,1,3
CUST0662,8,45468.3,3.88,2024-06-24,2023-01-21,Medium Value,5,4,5,14
CUST0514,11,41954.1,4.64,2024-06-06,2023-04-21,Medium Value,5,5,5,15
CUST1018,12,32783.05,4.33,2024-04-28,2023-02-28,Medium Value,4,5,4,13
CUST0180,7,20124.9,4.29,2024-04-30,2023-03-10,Medium Value,3,3,3,9
CUST0888,9,33283.15,4.11,2024-01-31,2023-03-21,Medium Value,4,4,4,12
CUST1146,6,16623.3,4.33,2024-03-04,2023-02-16,Medium Value,2,2,2,6
CUST0239,6,17495.45,4.0,2024-03-12,2023-05-10,Medium Value,2,2,2,6
CUST0238,10,30460.95,3.2,2024-06-16,2023-01-11,Medium Value,4,5,4,13
CUST0173,8,24805.95,3.63,2024-06-08,2023-02-23,Medium Value,3,4,3,10
CUST1007,10,35663.35,3.8,2024-06-17,2023-10-23,Medium Value,4,5,4,13
CUST1042,12,29150.3,3.75,2024-06-16,2023-01-08,Medium Value,4,5,4,13
CUST0362,9,51639.15,4.0,2024-02-10,2023-02-09,Medium Value,5,4,5,14
CUST0525,10,58162.35,4.1,2024-05-20,2023-01-31,Medium Value,5,5,5,15
CUST1080,8,54658.35,3.88,2024-05-02,2023-05-23,Medium Value,5,4,5,14
CUST0039,6,13704.65,3.33,2023-12-13,2023-03-31,Medium Value,1,2,1,4
CUST0940,6,16284.65,4.0,2024-05-20,2023-03-08,Medium Value,2,2,2,6
CUST0914,8,23768.5,4.25,2024-06-10,2023-02-03,Medium Value,3,4,3,10
CUST0668,11,24126.55,4.09,2024-05-30,2023-02-02,Medium Value,3,5,3,11
CUST0653,6,19734.3,3.83,2024-06-02,2023-01-13,Medium Value,3,2,3,8
CUST0843,10,43674.9,3.7,2024-04-26,2023-02-07,Medium Value,5,5,5,15
CUST0578,13,39944.7,4.31,2024-03-28,2023-01-20,Medium Value,5,5,5,15
CUST0272,8,20966.45,4.38,2024-01-19,2023-07-09,Medium Value,3,4,3,10
CUST0755,6,12164.0,4.33,2024-05-26,2023-03-04,Medium Value,1,2,1,4
CUST0808,6,15511.65,4.0,2024-04-22,2023-02-14,Medium Value,2,2,2,6
CUST0553,8,22434.9,3.5,2024-05-29,2023-01-10,Medium Value,3,4,3,10
CUST0012,7,30317.9,3.71,2024-05-24,2023-01-17,Medium Value,4,3,4,11
CUST0397,8,24602.95,3.63,2024-02-22,2023-03-19,Medium Value,3,4,3,10
CUST0192,13,64206.4,4.23,2024-04-18,2023-02-06,Medium Value,5,5,5,15
CUST0929,11,36224.9,3.45,2024-05-10,2023-03-15,Medium Value,4,5,4,13
CUST0728,13,30852.4,3.54,2024-06-03,2023-01-15,Medium Value,4,5,4,13
CUST0724,4,5458.35,3.0,2023-12-31,2023-06-09,Low Value,1,1,1,3
CUST1056,10,26542.9,3.2,2024-06-21,2023-02-17,Medium Value,4,5,4,13
CUST0792,6,13948.15,3.5,2023-12-04,2023-03-19,Medium Value,1,2,1,4
CUST0979,5,12975.15,4.4,2024-05-29,2023-07-16,Low Value,1,1,1,3
CUST1172,9,40490.25,3.56,2024-04-11,2023-01-23,Medium Value,5,4,5,14
CUST1046,12,64036.05,4.08,2024-01-08,2023-01-12,Medium Value,5,5,5,15
CUST0097,10,30770.75,3.9,2024-04-01,2023-02-21,Medium Value,4,5,4,13
CUST0885,5,8672.55,4.0,2024-02-17,2023-01-22,Low Value,1,1,1,3
CUST0211,11,47896.65,3.91,2024-06-01,2023-01-10,Medium Value,5,5,5,15
CUST1079,6,33691.3,3.33,2024-06-10,2023-11-05,Medium Value,4,2,4,10
CUST0405,5,17025.35,3.6,2024-06-17,2023-08-13,Low Value,2,1,2,5
CUST0246,9,24766.15,4.11,2024-06-02,2023-01-25,Medium Value,3,4,3,10
CUST1105,8,23955.4,3.88,2024-05-27,2023-04-06,Medium Value,3,4,3,10
CUST0369,5,16161.05,2.8,2024-06-08,2023-02-15,Low Value,2,1,2,5
CUST0243,9,69611.6,3.44,2024-03-03,2023-01-18,Medium Value,5,4,5,14
CUST0620,9,21901.3,4.44,2024-05-01,2023-03-27,Medium Value,3,4,3,10
CUST0467,8,23189.0,3.88,2024-05-14,2023-10-29,Medium Value,3,4,3,10
CUST0423,9,82557.0,3.56,2024-04-05,2023-01-17,Medium Value,5,4,5,14
CUST1052,8,25441.55,3.5,2024-03-18,2023-02-08,Medium Value,3,4,3,10
CUST1171,7,19085.35,4.14,2024-04-22,2023-01-21,Medium Value,2,3,2,7
CUST0114,7,23940.9,4.0,2024-06-02,2023-01-14,Medium Value,3,3,3,9
CUST0327,10,24005.4,3.7,2024-04-13,2023-02-15,Medium Value,3,5,3,11
CUST0639,3,11978.55,4.67,2024-05-24,2023-05-28,Low Value,1,1,1,3
CUST0371,8,40602.95,3.75,2024-06-19,2023-02-08,Medium Value,5,4,5,14
CUST1099,4,19605.7,3.5,2024-05-28,2023-06-04,Low Value,3,1,3,7
CUST0396,6,76783.8,3.33,2024-03-29,2023-03-11,Medium Value,5,2,5,12
CUST0437,6,15742.05,4.33,2024-02-07,2023-03-20,Medium Value,2,2,2,6
CUST0976,7,17457.25,4.0,2024-05-03,2023-05-02,Medium Value,2,3,2,7
CUST1055,6,26715.95,4.17,2024-06-22,2023-02-15,Medium Value,4,2,4,10
CUST0893,10,26920.4,4.2,2024-04-25,2023-01-13,Medium Value,4,5,4,13
CUST0674,7,33254.65,3.57,2024-04-29,2023-01-22,Medium Value,4,3,4,11
CUST0537,14,76513.1,4.07,2024-06-12,2023-01-11,Medium Value,5,5,5,15
CUST0896,8,21500.6,4.25,2024-06-01,2023-05-16,Medium Value,3,4,3,10
CUST0236,8,41378.45,3.75,2024-06-19,2023-01-08,Medium Value,5,4,5,14
CUST1013,12,56429.5,4.0,2024-06-22,2023-02-02,Medium Value,5,5,5,15
CUST1059,10,61006.0,3.9,2024-06-16,2023-03-07,Medium Value,5,5,5,15
CUST1147,4,12834.35,3.5,2024-04-02,2023-04-11,Low Value,1,1,1,3
CUST1041,7,33356.05,4.43,2024-06-23,2023-01-26,Medium Value,4,3,4,11
